Phrases;Type (Maxime)
Je prends le train.;A1
Vous prenez la voiture.;A1
Ils y vont a pied.;A1
Elle pense a lui.;A1
Il regarde la television.;A1
Tu fais tes devoirs.;A1
Tu rêves de partir.;A1
Je parle beaucoup.;A1
J'ecris un peu.;A1
Nous courons tous les jours.;A1
Elle fait ses courses.;A1
Il achete des legumes et des fruits.;A1
Nous partons en voyage au Japon.;A1
Je reste avec toi.;A1
Elle aime beaucoup dessiner.;A1
Il cree des robots.;A1
Chaque soir de mon enfance, je rentrais a la maison poursuivi par l'ecole.;B1
"J'ai toujours entendu dire qu'il m'avait fallu une annee entiere pour retenir la lettre ""a"".";B2
La riviere coulait entre des falaises.;B1
Pour se retrouver, ils avaient appris a siffler entre leurs doigts.;B1
Deux messieurs d'un certain age se promenent le long d'une riviere.;B1
Ils ne trouvent pas qui c'est, alors ils nous font tous payer, c'est degueulasse !;B1
Elle me demande ce que j'aimerais qu'il fasse plus tard.;B1
a force de me l'entendre repeter je m'etais fait une representation assez precise de cette vie sans futur.;B2
Vous ne vous rendez pas compte, monsieur, j'ai douze ans et demi, et je n'ai rien fait.;B1
Il faudrait inventer un temps particulier pour l'apprentissage.;B1
Et la grande personne etait bien contente de connaître un homme aussi raisonnable.;B1
C'etait pour moi une question de vie ou de mort.;B1
J’etais bien plus isole qu’un naufrage sur un radeau au milieu de l’Ocean.;B2
Je regardai donc cette apparition avec des yeux tout ronds d’etonnement.;B1
Quand le mystere est trop impressionnant, on n’ose pas desobeir.;B1
Le petit prince, qui me posait beaucoup de questions, ne semblait jamais entendre les miennes.;B1
Il hochait la tête doucement tout en regardant mon avion.;B1
Puis, sortant mon mouton de sa poche, il se plongea dans la contemplation de son tresor.;B2
J’eprouve tant de chagrin a raconter ces souvenirs.;B1
Mais je ne suis pas tout a fait certain de reussir.;B1
Tout d'un coup, il proteste contre un monsieur bleu.;B1
Il abandonna d'ailleurs rapidement la discussion pour se jeter sur une place devenue libre.;B1
Ce n'etait ni un bateau, ni un avion, mais un moyen de transports terrestre.;B1
Deux heures plus tard, je le revis devant la gare Saint-Lazare, ce jeune homme que j'avais remarque sur la plate-forme d'un autobus de la ligne S, ce jour même, vers midi.;B2
De cette premiere rencontre, j'ai un souvenir aussi confus que precis.;B1
La dame du premier etage, sans doute la même qui m'a parle au telephone, me dit que Monsieur Lindon m'attend dans son bureau.;B1
Je tombe sur une dame aimable qui a l'air au courant de mon affaire.;B1
J'envoie donc mon manuscrit par la poste a quelques editeurs qui, tous, le refusent.;B1
Il me pose quelques questions sur ma vie, j'ai peur de ne dire que des sottises et je reponds a peine.;B1
J'ai ecris un roman, c'est le premier, je ne sais pas si c'est le premier, je ne sais pas si j'en ecrirai d'autres.;B1
De 2009 a 2019, l’entreprise a enregistre un benefice net annuel moyen de 73 millions de francs.;B1
Une modification de la loi sur l’aeroport a egalement ete validee mercredi par les autorites genevoises.;B1
L’aeroport de Geneve multiplie les emprunts, alors que le trafic sur son tarmac demeure quasiment a l’arrêt.;B1
Les Suisses ont tendance a vivre seuls dans leur logement.;B1
Les plus de 65 ans sont ceux qui depensaient le moins pour leur logement, que ce soit pour des raisons financieres, ou grace a des baux de longue duree.;B2
La proportion de familles monoparentales a le plus augmente depuis 2010, tous types de menages confondus.;B1
Spotify va aussi ouvrir sa plateforme aux podcasts payants dans les mois a venir.;B1
A fin 2020, Spotify comptait 345 millions d'utilisateurs actifs, dont 155 millions a la formule payante, ce qui en faisait, de tres loin, la premiere plateforme de musique en ligne au monde.;B1
Dans tous ces nouveaux pays d'implantation, Spotify proposera les deux formules de son offre, l'une gratuite, l'autre payante.;B1
La plateforme mettra a disposition l'ensemble de son catalogue musical et dit vouloir collaborer avec des acteurs locaux pour pouvoir elargir son offre de musique issue du marche concerne.;B2
Voila un mois de fevrier avec des temperatures fort printanieres.;B1
Cette douceur contraste avec les temperatures siberiennes d'il y a une semaine.;B1
La police vaudoise a installe des barrages filtrants pour dissuader les automobilistes de rejoindre ces stations.;B1
Le numero un mondial a facilement remporte la finale, en seulement trois manches et a peine deux heures de jeu.;B1
C’est, de maniere plus generale et de facon indiscutable, le meilleur joueur du monde.;B1
A propos de pansement, Djokovic en portait toujours un, imposant, sur le côte droit de sa sangle abdominale.;B2
Ce n’est une surprise pour personne: avec le semi-confinement et le teletravail, les conflits entre voisins ont augmente.;B1
C’est donc une methode qui suppose une capacite d’ecoute, de reflexion et une bonne disposition d’esprit.;B1
Ensuite, pour qu’il y ait mediation, il faut que les deux parties soient d’accord.;B1
Il s’agit d’un processus volontaire et tourne vers l’avenir, qui permet aux deux parties de trouver une issue, leur issue.;B1
Et il regardait tous ces hommes attables et buvant, tous ces hommes qui pouvaient se desalterer tant qu’il leur plaisait.;B2
Dans ton bureau, au moins, tu es cache, personne ne te connaît, tu peux en sortir, si tu es fort, et faire ton chemin.;B2
Et on les enferma dans une petite boîte en bois, decouverte, tapissee de rouge, et qui contenait quatre chaises de même couleur, si rapprochees qu’on pouvait a peine se glisser entre elles.;B2
Et, tournant a gauche, ils penetrerent dans une espece de jardin couvert, que deux grandes fontaines de mauvais goût rafraîchissaient.;B2
Il se tut une seconde, puis reprit, avec ce ton rêveur des gens qui pensent tout haut : c’est encore par elles qu’on arrive le plus vite.;B2
Il la sentait defectueuse en tout, par les bottines non vernies mais assez fines cependant, car il avait la coquetterie du pied, par la chemise de quatre francs cinquante achetee le matin même au Louvre, et dont le plastron trop mince ce cassait deja.;B2
"Il aurait vide de même une barrique entiere, lui semblait-il ; il aurait mange un bœuf, etrangle un lion.";B2
Il revoyait en souvenir la jolie cite claire, degringolant, comme une cascade de maisons plates, du haut de sa montagne dans la mer, mais il ne trouvait plus un mot pour exprimer ce qu’il avait vu, ce qu’il avait senti.;B2
Il y etait venu, son temps expire, malgre les prieres du pere et de la mere, qui, leur songe envole, voulaient le garder maintenant.;B2
Les reliures de tons differents, rouges, jaunes, vertes, violettes, et bleues, mettaient de la couleur et de la gaiete dans cet alignement monotone de volumes.;B2
"a ces mots le Corbeau ne se sent pas de joie ; et pour montrer sa belle voix, il ouvre un large bec, laisse tomber sa proie.";C1
Deux Mulets cheminaient, l’un d’avoine charge, l’autre portant l’argent de la gabelle.;B2
"Il etait une fois une petite fille de village, la plus jolie qu'on eût su voir ; sa mere en etait folle, et sa mere-grand plus folle encore.";C1
La-dessus, au fond des forêts, le Loup l’emporte et puis le mange, sans autre forme de proces.;B2
Un jeune Enfant dans l’eau se laissa choir en badinant sur les bords de la Seine.;B2
Un Chat, nomme Rodilardus, faisait de rats telle deconfiture, que l’on n’en voyait presque plus, tant il en avait mis dedans la sepulture.;C2
Ce qu’on donne aux mechants, toujours on le regrette : pour tirer d’eux ce qu’on leur prête, il faut que l’on en vienne aux coups;B2
Un anier, son sceptre a la main, menait, en empereur romain, deux coursiers a longues oreilles.;B2
Cependant il advint qu’au sortir des forêts, ce Lion fut pris dans des rets, dont ses rugissements ne le purent defaire.;B2
Emmenez avec vous les souffleurs tout d’un temps : vous ne meritez pas plus de foi que ces gens.;B2
Les canards eurent la une belle occasion de pondre des œufs de toute couleur.;B2
Ils ne virent rien, si ce n’est un fort remous qui brisait a trois encablures, comme si les nappes liquides eussent ete violemment battues.;C1
Il marchait avec une vitesse de treize nœuds quarante-trois centiemes sous la poussee de ses mille chevaux-vapeur.;B2
D’autres ont ete arrachees, non sans peine, de carenes de vaisseaux qu’elles avaient percees d’outre en outre, comme un foret perce un tonneau.;C2
Les masses liquides transportent les plus grandes especes connues de mammiferes, et peut-être recelent-elles des mollusques d’une incomparable taille, des crustaces effrayants a contempler, tels que seraient des homards de cent metres ou des crabes pesant deux cents tonnes !;B2
Plus d’un s’imposait un quart volontaire dans les barres de perroquet, qui eût maudit une telle corvee en toute autre circonstance.;C1
Ce precieux instrument, d’origine americaine, envoyait, sans se gêner, un projectile conique de quatre kilogrammes a une distance moyenne de seize kilometres.;B2
Que le vulgaire croie a des cometes extraordinaires qui traversent l’espace, ou a l’existence de monstres antediluviens qui peuplent l’interieur du globe, passe encore, mais ni l’astronome, ni le geologue n’admettent de telles chimeres.;C2
Je crois a l’existence d’un mammifere, puissamment organise, appartenant a l’embranchement des vertebres, comme les baleines, les cachalots ou les dauphins, et muni d’une defense cornee dont la force de penetration est extrême.;C1
Ce qui equivaut a dire que si vous pouviez atteindre cette profondeur dans l’ocean, chaque centimetre carre de la surface de votre corps subirait une pression de mille kilogrammes.;B2
ca y est, j’etais un homme, j’avais ete baptise entre les cuisses d’une femme, je tenais a peine sur mes pieds tant mes jambes tremblaient encore et les ennuis commencaient : j’avais oublie le fameux petit cadeau.;C1
"Les femmes veulent verifier si elle est aussi bien qu’on le dit ; les hommes ne pensent plus, ils ont le discursif qui s’est coince dans la fermeture de la braguette.";C1
Grace a l’intervention de monsieur Ibrahim, le monde des adultes s’etait fissure, il n’offrait pas le même mur uniforme contre lequel je me cognais, une main se tendait a travers une fente.;B2
Il etait clos dans les murs de sa science, il ne faisait pas plus attention a moi qu’a un chien – d’ailleurs, il detestait les chiens –, il n’etait même pas tente de me jeter un os de son savoir.;B2
Je me disais que je pourrais ouvrir les fenêtres, que les murs pouvaient être plus clairs, je me disais que je n’etais peut-être pas oblige de garder ces meubles qui sentaient le passe, pas le beau passe, non, le vieux passe, le rance, celui qui pue comme une vieille serpilliere.;B2
evaluant l’interêt croissant porte a son recit, l’homme de Barbes sirotait une tasse de the, etalait son sourire edente et continuait, d’une voix encore plus vive.;B2
En se mordillant la joue, l’homme de Barbes se jetait dans son lit, soulage d’avoir reussi, une fois de plus, a preserver, mieux, a consolider son rang.;B2
Perpetuel clandestin, c’est muni d’un faux titre de sejour, photocopie de la carte de resident d’un copain-complice, qu’il avait ensuite sillonne l’Hexagone, au bon vouloir d’employeurs peu scrupuleux.;C1
Doux comme un agneau, ses machoires carrees lui dessinerent bientôt un profil de gardien.;B2
Le sceptre a la main, comment aurait-il pu avouer qu’il avait d’abord hante les bouches du metro, chaparde pour calmer sa faim, fait la manche, survecu a l’hiver grace a l’Armee du Salut avant de trouver un squat avec ses compagnons d’infortune ?;C1
D'ailleurs, si Socrate accouchait les esprits, c'est bien parce que ceux-ci n'etaient pas vides.;B2
Exilee en permanence, je passe mes nuits a souder les rails qui menent a l'identite.;C1
La larme a l’œil, on se resigne a constater que les masques qu'on leur avait tailles ne s'ajustent plus.;B2
Ils en arrivaient même a oublier qu'a leur propos on ne parle jamais de reconnaissance ni d'une simple citoyennete, mais de tolerance et d'integration au moule d'une societe-tamis ou ils ne sont que les grumeaux.;C1
Je prefere le mauve, cette couleur temperee, melange de la rouge chaleur africaine et du froid bleu europeen.;B2
Aucun filet ne saura empêcher les algues de l'Atlantique de voguer et de tirer leur saveur des eaux qu'elles traversent.;B2
Le depart est le seul horizon offert a ceux qui cherchent les mille ecrins ou le destin cache les solutions de ses mille erreurs.;C1
"Je cherche mon territoire sur une page blanche ; un carnet, ca tient dans un sac de voyage.";B2
Partir, c'est mourir d’absence.;B2
Chaque miette de vie doit servir a conquerir la dignite.;C1
Je commande du poisson avec de la puree.;A1
Je vais ensuite prendre ma douche dans ma salle-de-bain.;A2
Il est l’heure de dejeuner !;A1
Cet apres-midi, mes amis et moi allons au cinema.;A1
J’ai passe une tres bonne journee de vacances.;A1
Ma famille se compose de quatre personnes.;A1
Les enfants aiment faire du velo avec leur grand-pere apres l’ecole.;A1
Ma fille fait parfois des gateaux avec sa grand-mere le samedi apres-midi.;A1
Nous vivons dans une jolie maison avec un grand jardin.;A1
Nous jouons dans le jardin quand il fait beau ou dans la maison quand il pleut.;A1
Ma sœur prefere aller a la plage pour lire et bronzer.;A1
J’espere qu’il y aura beaucoup de soleil.;A1
Je n’aime pas la pluie, surtout pendant les vacances.;A1
Je m’appelle Hugo et j’ai seize ans.;A1
Aujourd’hui, avec mes parents et ma sœur nous partons en voyage.;A1
Le rouge est une couleur vive.;A1
Le violet se retrouve chez de nombreuses fleurs comme le lilas.;A1
Le jaune est la couleur des bananes, du maïs ou des poussins par exemple.;A1
Enfin, on trouve aussi le blanc, comme la neige, et le noir, comme la nuit.;A1
Le rouge, le jaune et le bleu sont les trois couleurs primaires.;A1
J'habite une belle ville dans le nord de la France.;A1
Il y a un quartier tres agreable pour aller se balader, lorsqu'il fait beau.;A2
Il est possible de faire du velo dans un parc autour d'une citadelle fortifiee.;A2
Il est agreable de marcher dans les petites rues pour admirer l'architecture des maisons anciennes.;A2
Pour se deplacer, il y a des bus, des velos et un metro.;A1
L’automne debute fin septembre.;A1
C’est le moment de sortir son manteau et son parapluie !;A1
Le paysage devient tout blanc a cause de la neige et de la glace.;A1
Avec le printemps, qui commence en mars, le soleil est de retour et le temps se rechauffe.;A1
Enfin, l’ete arrive a la fin du mois de juin.;A1
Pierre est un jeune garcon de 14 ans.;A1
Il vit a Paris avec ses parents et sa petite sœur Julie, agee de 8 ans.;A1
Le week-end, Pierre aime passer du temps en famille.;A1
Toute la petite famille habite dans un grand appartement au 3eme etage d'un immeuble situe pres de la Tour Eiffel.;A2
Ainsi, Pierre a le privilege d'admirer chaque jour l'un des monuments les plus visites au monde !;A2
Non, j’ai termine mes etudes en juin dernier.;A1
J’aimerai beaucoup venir et goûter tes recettes !;A2
Je serai ravi de t’accueillir.;A2
Non, elle est fleuriste.;A1
J’ai hate de la rencontrer.;A1
Comment t'appelles-tu ?;A1
Ne t'inquiete pas, tu vas vite t'habituer a ta nouvelle vie.;A2
J'imagine que les week-ends doivent être bien remplis !;A1
Les activites ne manquent pas !;A1
On pourra se faire un cinema ou un bowling a l'occasion si tu veux ?;A2
Je m'appelle Angelica Summer, j'ai 12 ans et je suis canadienne.;A1
La vie en France est tres differente de celle au Canada.;A1
Ici, il fait toujours chaud.;A1
Les Francais sont tres sympathiques et accueillants.;A1
Nous avons demenage en France, parce qu'elle a toujours aime la culture de ce pays.;A2
Je crains que la table ne soit pas encore disponible.;A2
Si vous voulez attendre au bar, on vous appellera quand ce sera prêt.;A2
Desole pour le retard, nous sommes tres occupes ce soir.;A2
Si vous voulez venir avec moi, je vous montrerai votre table.;A2
Excusez-moi, serait-il possible de changer de table ?;A2
Souvent, le soir, il pratique une activite musicale : le piano.;A2
Le vendredi, la classe dure toute la journee mais elle est souvent plus courte pour laisser les eleves en week-end plus tôt.;A2
La journee est longue pour David qui attend le samedi toute la semaine.;A2
Le samedi, il dispute des matchs de football avec son club dans le cadre de competitions regionales.;A2
Le dimanche, il se repose et en profite pour faire ses devoirs pour la semaine.;A2
J'en profite pour me baigner a la riviere avec mes cousins presque tous les jours !;A2
Mes grands-parents possedent 11 poules, 1 coq, 2 cochons, 5 canards, 2 chiens, 3 chats et 1 poney.;A1
En plus des animaux, il faut aussi s'occuper du potager de mon papy.;A2
Au programme des activites, on a : randonnees, baignade a la riviere, pique-nique en famille, equitation et travail a la ferme.;A2
Je te dis a tres bientôt pour une rentree des classes en pleine forme !;A2
Il reste au lit un quart d’heure dans le noir avant de se lever, pour faire durer la nuit.;A2
Tous les matins, il suit la même routine : il commence par se laver le visage avant de prendre une douche.;A2
Ensuite, il se seche tres vite les cheveux pour aller manger son petit dejeuner.;A2
Apres son repas, il retourne a la salle de bain pour se brosser les dents et pour aller aux toilettes.;A2
Une fois qu’il a tout fini, Theo peut enfin aller jouer et s’amuser avant de dîner avec ses parents.;A2
En ete comme en hiver, les gens se bousculent dans ces endroits fantastiques remplis de boutiques variees et d'animations diverses.;B1
Le centre commercial est l'endroit ideal pour passer un bon moment avec sa famille, ses amis ou ses collegues de travail.;A2
En effet, même si vous ne souhaitez pas acheter quelque chose, il est toujours interessant de passer du temps dans les centres commerciaux.;B1
Côte magasins, on peut trouver de tout dans un centre commercial : hypermarches, boutiques de vêtements, etc.;A2
Vous ne risquerez pas de vous ennuyer dans un lieu aussi anime.;A2
Ils decident d’aller au marche pour acheter les ingredients qu’ils vont cuisiner.;A2
Ils ont besoin d’une salade verte, de 6 tomates, de 3 œufs, de creme fraiche et de jambon.;A1
Ils prennent donc leur voiture rouge et conduisent jusqu’a la place du village.;A2
Ils mettent tous leurs achats dans un grand sac puis, ils rentrent dans leur maison.;A2
Clement et Manon ont tres faim et la pendule du salon sonne midi.;A2
Ce sont des jours feries, c’est-a-dire des jours pendant lesquels on ne travaille pas.;A2
Des feux d’artifices et des defiles militaires sont organises.;A2
Les familles se reunissent et partagent un bon repas le soir du 24 decembre, et on s’offre des cadeaux.;A2
a Paques, les parents cachent des oeufs en chocolat dans la maison et le jardin, et les enfants s'amusent a les chercher.;B1
"Le jour de l’An correspond au 1 janvier ; on le fête avec ses amis ou sa famille, et on souhaite « bonne annee ! » a ses proches.";A2
Je voulais être professeur et enseigner les mathematiques.;A2
Il pensait qu'un chef pouvait manger des pizzas et des frites tous les jours.;A2
Puis, plus grand, je decouvrais les metiers de policier et d'avocat dans un film.;A2
Mais le monde ne fonctionne pas toujours ainsi.;A2
Pourtant, quand on etait petits, il detestait aller chez le dentiste.;A2
La semaine, je me leve a six heures du matin et mon mari a huit heures.;A2
Notre garcon de sept ans, et nos jumelles de quatre ans se levent quand ils veulent, mais pas plus tard que dix heures.;A2
Nous aimons prendre le petit-dejeuner en famille et vers onze heures, nous nous rendons au marche.;A2
Ce sont elles qui les comptent et les mettent dans notre panier.;A2
Il n'aime pas donner les billets de vingt ou de cinquante euros.;A2
Elle est plus jolie que celle que j’avais avant.;A2
Ma nouvelle maison est blanche avec des volets bleus et des fleurs rouges.;A2
Mon chat adore se blottir sur le canape devant la television.;A2
J’ai decide de peindre les murs en jaune et d’y installer mon piano.;A2
a gauche, c’est ma salle de bain, avec vue sur mon jardin.;A2
L'intensite carbone de la Suisse est certes moderee, grace a une faible intensite energetique et a une production d'electricite presque totalement decarbonee.;C1
Avec l'arrivee a l'age de la retraite de la generation du baby-boom et l'augmentation de l'esperance de vie, la part des personnes de 65 ans et plus dans la population atteindra 30 % dans les decennies a venir.;B2
La regle du frein a l'endettement devrait traiter de maniere symetrique les depassements de depenses et les economies realisees.;C1
Cependant, le systeme est fragmente, et les depenses de soins a domicile restant a la charge du patient peuvent être inabordables, même pour des besoins peu importants.;C1
Une meilleure protection de la vie privee conjuguee a des mesures allant dans le sens d'une meilleure gestion des risques de securite numerique pourraient contribuer a promouvoir la confiance.;C1
Malgre les recentes reformes, le regime public constituant le premier pilier du systeme de retraite reste confronte a des problemes de viabilite.;C1
La faiblesse des taux d'interêt contribue a alimenter des risques lies aux expositions au secteur du logement.;C1
L'age legal de depart a la retraite devrait être releve pour les femmes et aligne sur celui des hommes.;B2
L'essor du numerique et les nouvelles technologies promettent d'accroître la productivite en stimulant l'innovation, en generant des gains d'efficience et en ameliorant les services.;C1
La perspective de longues negociations pourrait peser sur l'investissement et la confiance des entreprises.;B2
Les chiffres sont des êtres fragiles qui, a force d'être tortures, finissent par avouer tout ce qu'on veut leur faire dire.;B2
Pour les autorites israeliennes, a quelques semaines des elections, il est crucial de montrer que le plan de vaccination est un succes eclatant, plutôt qu’un echec.;B2
De nombreux indicateurs lui permettent de suivre l’evolution de la situation, et au fur et a mesure que l’epidemie se propage, de nouveaux outils deviennent necessaires pour avoir une vision globale de la situation.;C1
Cet indicateur reflete le niveau de sollicitation des reanimations mais aussi le niveau de tension sur les capacites hospitalieres en reanimation.;C1
Bien qu'attirant pour de nombreux scientifiques et une mesure par defaut pour les dirigeants politiques craignant une responsabilite juridique pour des reponses nationales lentes ou indecises, son utilisation doit être reexaminee, uniquement pour être utilisee en dernier recours.;C1
La politique vaccinale s’accompagne aussi de nombreux doutes quant aux effets secondaires, estimes comme etant tres importants par certains chercheurs.;C1
"La loi sur laquelle s'est appuye le gouvernement neerlandais pour imposer un couvre-feu est prevue pour des ""circonstances tres urgentes et exceptionnelles"".";C1
"Cependant, un recours en urgence a suspendu la decision, imposant le statu quo le temps qu'une cour d'appel examine le dossier, et ce afin d'eviter un ""effet yo-yo"".";C1
Alors que leurs effets devastateurs sur les insectes pollinisateurs ne sont plus a prouver, les neonicotinoïdes seraient egalement nefastes pour les mammiferes dont les humains.;C1
"Il en resulte alors des consequences desastreuses pour certaines especes ; pour le cerf, on parle d’une malformation de la machoire, d’une masse corporelle limitee, d’organes sous-dimensionnes et d’une vie sexuee reduite.";C1
En 2019, le taux d’imposition de l’energie etait de 335 francs par tonne d’equivalent petrole (TEP), une unite de mesure qui permet de comparer entre eux les differents agents energetiques.;C1
Cette somme comprend les depenses d’electricite et de chauffage au domicile principal et, le cas echeant, au domicile secondaire, ainsi que les depenses pour l’essence ou le diesel.;C1
Depuis la crise petroliere des annees 1970, la hausse du prix de l’electricite a ete, en termes nominaux, moins forte que celle de l’indice des prix a la consommation (IPC).;C1
Les impôts sur l’energie comprennent essentiellement les impôts sur les carburants, la taxe CO2 sur les combustibles et le supplement sur les coûts de transport d'electricite.;C1
Le montant des recettes des impôts sur l’energie depend non seulement du taux d’imposition, mais aussi de la quantite d’energie consommee, elle-même influencee par la situation economique, les conditions meteorologiques et les prix.;C1
Analyser la sante par le genre apparaît important pour mieux comprendre les differences de sante entre hommes et femmes, et pour mettre en place ensuite des strategies de prevention et de promotion de la sante specifiques, qui soient benefiques pour la societe entiere.;C1
Ainsi, le genre est un determinant de la sante a considerer en association avec d’autres determinants sociaux tels que la condition socio-economique, l’age ou l’appartenance ethnique, dans une perspective d’intersectionnalite pour decrire cette interaction de differentes caracteristiques.;C2
Pour expliquer ces differences, il est necessaire d’utiliser le concept social du genre (Doyal, 2003), qui permet de comprendre par exemple comment les normes sociales ont favorise l’adoption du tabagisme par les hommes d’abord, puis plus tardivement par les femmes.;C1
Le genre constitue ainsi un angle d’analyse fondamental pour comprendre une societe: structurant tous les domaines de la vie sociale, il concerne donc des aspects fondamentaux de pouvoir, de hierarchies, de classifications et d’identites, que ce soit dans les entreprises, dans les familles, ou dans les espaces publics.;C1
Neanmoins, l’introduction de la notion de genre dans la sante entraîne une meilleure comprehension des processus biologiques et sociaux intriques qui influencent les trajectoires de sante des hommes et des femmes.;C1
Les coûts totaux des transports prennent donc en consideration, outre les coûts lies aux depenses financieres, les coûts immateriels qui ne resultent d’aucun paiement comme par exemple la souffrance ressentie par les victimes d’accidents.;C1
Les paiements compensatoires sont par exemple les impôts et taxes specifiques lies au transport, verses par les usagers des transports aux pouvoirs publics, les paiements des voyageurs aux entreprises de transport sous forme de billets et d’abonnements, ou les indemnisations versees par les pouvoirs publics aux entreprises de transport.;C1
Les coûts kilometriques reels peuvent diverger sensiblement des valeurs moyennes en fonction du moyen de transport utilise, du taux d’occupation ou du taux de remplissage, de l’infrastructure utilisee, de la topographie des lignes, du flux de trafic, etc.;C1
"Le transport de marchandises peut s’effectuer sur de longues distances mais aussi sur de courtes distances pour la distribution fine ; la nature du bien a transporter et les exigences particulieres de vitesse, de securite, de conditionnement ou autres a respecter ont aussi une influence sur le moyen de transport a utiliser.";C1
Lorsque l’on examine l’origine de coûts, on voit entre autres que la part des coûts des moyens de transport dans le transport routier et le transport aerien est nettement plus elevee que celle des coûts d’infrastructure, alors que ces derniers sont comparativement beaucoup plus importants dans le transport ferroviaire.;C1
Sont consideres comme « arrieres de paiement » les impayes ou les retards de paiement dans les cas suivants: loyer ou interêts hypothecaires sur le logement principal, factures d’eau, d’electricite, de gaz et de chauffage, primes d’assurance-maladie, remboursement de credits et impôts.;C1
Les types de dette comprennent les leasings pour vehicule, les petits credits ou credits a la consommation, les achats par acomptes, les dettes aupres de la famille ou des amis, les hypotheques sur residence secondaire, les arrieres de paiement ainsi que les comptes a decouvert et les factures impayees sur les cartes de credit.;C2
Globalement, presque une personne sur cinq (18,9%) vit dans un menage avec au moins un type d’arriere de paiement et 10,0% avec au moins deux types d’arrieres de paiement, le pourcentage de la population avec un ou deux types d’arrieres de paiement dimunant avec l’age, le niveau de formation et les revenus.;C1
Les dettes relevees au niveau individuel sont attribuees solidairement a l’ensemble des membres du menage, les resultats diffuses indiquant ainsi les pourcentages de la population vivant dans un menage avec le ou les types de dettes consideres.;C1
En 2017, 34,6% de la population vit dans un menage avec au moins un credit (leasings, petits credits ou credits a la consommation, achats par acomptes, dettes aupres de la famille ou amis ne vivant pas dans le menage et hypotheques sur le logement secondaire).;C1
La formation, la sante et les relations sociales font partie des dimensions immaterielles du bien-être, lesquelles englobent aussi le cadre legal et institutionnel qui permet la participation des citoyens a la vie politique et qui assure la securite physique des personnes.;C1
Le systeme d’indicateurs propose des informations statistiques sur l’etat et l’evolution du bien-être dans un large contexte, et qui pourront servir de base a la formation de l’opinion publique et aux prises de decisions politiques.;C1
Ces defis environnementaux, avec la mobilite internationale qui s’intensifie, les migrations de personnes et le commerce international de marchandises et de services, montrent que la preservation du bien-être revêt de plus en plus une dimension globale.;C1
La crise financiere et la crise de la dette en 2008, avec leurs repercussions profondes sur la politique, la societe et l’economie, ont aussi ete des evenements determinants qui ont fait sentir la necessite de mesurer le bien-être.;C1
Ainsi, les conditions-cadre economiques sont liees au systeme politique: la politique financiere a une influence sur le systeme de protection sociale, sur le systeme educatif ou – par le biais des taxes d’incitation – sur l’environnement.;C1
Plusieurs caracteristiques des anciens rapports sociaux ont ete conservees – notamment l’interdisciplinarite (on trouvera ici des contributions d’economistes, de sociologues, de politologues, de demographes) et le plurilinguisme (le rapport est publie en allemand, en francais et en anglais, afin d’ouvrir et d’internationaliser le debat).;C1
"Sur le plan sociodemographique, ils ressemblent aux menages non issus de la migration; sur le plan economique, ils se rapprochent plutôt des menages issus de la migration.";C1
Par rapport a la deuxieme generation et a la population non issue de la migration, elle comprend une proportion plus elevee aussi bien de personnes ayant une formation de degre tertiaire que de personnes sans formation postobligatoire.;C1
La taille des menages est a cet egard un facteur important: les menages issus de la migration, qui sont en general plus grands, doivent partager leurs revenus et leur patrimoine entre plus de personnes que les menages non issus de la migration.;C1
Depuis l’apres-guerre, et jusque dans les annees 1990, il s’est produit en Suisse un phenomene dont les effets persistent encore aujourd’hui: les migrantes et migrants sont venus occuper par vagues successives les places les plus basses de l’echelle professionnelle, permettant l’ascension sociale des personnes non issues de la migration.;C1
Dans le cadre d'une recherche en sociolinguistique urbaine, s'interessant aux parlers de jeunes en parcours d'insertion sociale et professionnelle, evoluant au sein de centres de formation, nous nous sommes interrogees sur la construction et l'heterogeneite des interactions dans le cadre de situations de communication donnees, dont temoigne la diversite des corpus recueillis.;C2
Elle genere donc un espace ou se manifestent des modes d'expression tres divers, en fonction des projets de seances qui presentent plus ou moins d'improvisation ou de mise en forme ainsi qu'en fonction de la variabilite et de la composition des groupes.;C2
D'autres fonctionnent comme des marqueurs identitaires, c'est-a-dire des indices linguistiques de l'appartenance de groupe (famille, groupes d'amis, voisinage, a composante plus ou moins melangee) tandis que d'autres relevent des processus d'acquisition de certaines structures ou formes propres a la reference scolaire du francais, qui peut rester encore etrangere a certains jeunes (exclus du systeme scolaire ou nouveaux arrivants).;C2
Ainsi, dans l'espace de socialisation temporaire que represente le centre de formation, nous voyons apparaître des formes de convergence linguistique qui identifient des statuts et des positionnements, ainsi que des deplacements discursifs vers d'autres modes de convergence.;C2
"L'echange, c'est-a-dire l'interaction verbale, se presente comme une co-construction constitutive de la dynamique du groupe ; c'est en tenant compte des interlocuteurs et de la facon dont ils se positionnent les uns vis-a-vis des autres, selon les objets et les enjeux des interactions, que l'on envisage d'analyser tant la variation des usages en presence que l'heterogeneite constitutive du dire, dans cet espace.";C2
Entre ceux qui ne jurent que par l'introduction de l'informatique dans l'enseignement obligatoire, et ceux qui ont peur que l'on veuille transformer le primaire en une grande ecole d'informatique, il existe pourtant des pistes pour initier les enseignants et favoriser un passage du periscolaire au scolaire, sans avoir a attendre une reforme du socle commun qui prendra des annees.;C2
